Fecha;Temperatura interior;Monóxido de nitrógeno;Dióxido de nitrógeno;Partículas en suspensión < PM10;Óxidos de nitrógeno;Ozono;Tolueno;Benceno;Hidrocarburos totales;Hidrocarburos no-metano;Velocidad del viento;Dirección del viento;Temperatura;Humedad relativa;Presión;Radiación solar;Precipitaciones
2021-10-31T22:00:00;23.9;1;6;3;8;44;0.2;0.1;1.3;0.1;1.9;243;15.3;100;937;1;0
2021-10-31T23:00:00;23.9;1;12;3;15;43;0.2;0.1;1.3;0.1;1.2;258;15.1;100;937;1;0.4
2021-11-01T00:00:00;23.9;1;6;3;8;45;0.1;0.1;1.3;0.1;1.9;247;14.8;100;936;1;0.8
2021-11-01T01:00:00;23.8;1;10;5;12;57;0.1;0.1;1.3;0.1;1.2;254;12.9;100;936;1;0.2
2021-11-01T02:00:00;23.8;1;5;6;7;56;0.1;0.1;1.3;0.1;0.9;351;12.9;100;936;1;0.4
2021-11-01T03:00:00;23.9;1;4;5;6;59;0.1;0.1;1.3;0.1;0.7;70;12.6;100;936;1;0
2021-11-01T04:00:00;23.9;1;3;3;5;59;0.1;0.1;1.3;0.1;0.5;144;12.4;100;936;1;0
2021-11-01T05:00:00;23.8;1;8;3;10;50;0.2;0.1;1.3;0.1;0.5;246;12.9;100;936;1;0
2021-11-01T06:00:00;23.8;1;10;4;12;46;0.9;0.2;1.3;0.1;0.9;252;12.9;100;936;1;0.2
2021-11-01T07:00:00;23.7;1;10;8;12;53;0.4;0.1;1.3;0.1;1;262;13.1;98;936;1;0
2021-11-01T08:00:00;23.7;1;6;5;8;65;0.1;0.1;1.3;0.1;1.6;268;13.7;87;937;24;0
2021-11-01T09:00:00;23.8;1;2;3;4;69;0.1;0.1;1.3;0.1;2;279;15.4;69;938;148;0
2021-11-01T10:00:00;23.8;1;2;1;4;75;0.1;0.1;1.3;0.1;3.8;303;15.2;59;939;396;0
2021-11-01T11:00:00;23.8;1;2;1;4;76;0.1;0.1;1.3;0.1;4;300;14.9;54;939;529;0
2021-11-01T12:00:00;23.8;1;2;3;4;80;0.1;0.1;1.3;0.1;4.3;298;14.7;49;939;611;0
2021-11-01T13:00:00;23.9;1;2;1;4;82;0.1;0.1;1.3;0.1;3.8;297;14.8;47;938;588;0
2021-11-01T14:00:00;23.9;1;3;2;5;83;0.1;0.1;1.3;0.1;2.4;281;15.5;44;938;517;0
2021-11-01T15:00:00;23.8;1;2;3;4;84;0.1;0.1;1.3;0.1;2.3;282;16;44;938;452;0
2021-11-01T16:00:00;23.5;1;2;3;4;83;0.1;0.1;1.3;0.1;2.3;284;15.9;46;938;283;0
2021-11-01T17:00:00;23.3;1;3;1;5;82;0.1;0.1;1.3;0.1;2.6;292;14.5;50;938;40;0
2021-11-01T18:00:00;23.1;1;4;1;6;80;0.1;0.1;1.3;0.1;1.6;283;12.9;54;938;1;0
2021-11-01T19:00:00;22.9;1;4;1;6;79;0.1;0.1;1.3;0.1;1.5;288;12.1;56;939;1;0
2021-11-01T20:00:00;22.9;1;17;2;19;65;0.1;0.2;1.3;0.1;1.8;267;11.4;60;939;1;0
2021-11-01T21:00:00;22.9;1;8;3;10;73;0.1;0.2;1.3;0.1;2.1;274;11.1;61;939;1;0
2021-10-30T22:00:00;23.9;1;7;4;9;50;0.6;0.2;1.3;0.1;1.3;234;14;100;937;1;0
2021-10-30T23:00:00;23.9;1;7;4;9;48;0.7;0.1;1.3;0.1;1.6;237;14.1;100;937;1;0
2021-10-31T00:00:00;23.9;1;5;4;7;50;0.6;0.2;1.3;0.1;1;250;13.5;100;937;1;0
2021-10-31T01:00:00;23.8;1;5;1;7;49;0.4;0.1;1.3;0.1;1.1;245;13.2;100;938;1;0.6
2021-10-31T02:00:00;23.9;1;6;2;8;45;0.4;0.1;1.3;0.1;0.6;235;13.2;100;937;1;0
2021-10-31T03:00:00;23.9;1;5;5;7;47;0.7;0.1;1.3;0.1;0.4;227;13.5;100;937;1;0
2021-10-31T04:00:00;23.9;1;6;4;8;44;0.7;0.1;1.3;0.1;0.7;203;13.6;100;936;1;0.2
2021-10-31T05:00:00;23.9;1;8;5;10;40;0.7;0.3;1.3;0.1;0.7;214;13.4;100;936;1;0.2
2021-10-31T06:00:00;23.9;1;6;6;8;42;0.8;0.3;1.3;0.1;0.6;240;13.4;100;937;1;0
2021-10-31T07:00:00;23.8;1;6;5;8;39;0.6;0.1;1.3;0.1;0.4;241;13.6;100;937;1;0
2021-10-31T08:00:00;23.9;1;5;5;7;40;0.5;0.1;1.3;0.1;0.7;243;13.8;100;937;9;0
2021-10-31T09:00:00;23.9;1;7;6;9;36;0.3;0.1;1.3;0.1;0.7;245;14.3;100;938;43;0
